NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Fulton,13121,GA,NA,NA,NA,NA,NA,NA,NA,0
Barrow,13013,GA,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,13163,GA,NA,NA,NA,NA,NA,NA,NA,0
Baldwin,13009,GA,NA,NA,NA,NA,NA,NA,NA,0
Toombs,13279,GA,NA,NA,NA,NA,NA,NA,NA,0
Appling,13001,GA,NA,NA,NA,NA,NA,NA,NA,0
Bleckley,13023,GA,NA,1,NA,NA,NA,1,NA,2
Greene,13133,GA,NA,NA,NA,NA,NA,NA,NA,0
White,13311,GA,NA,NA,NA,NA,NA,NA,NA,0
Warren,13301,GA,NA,NA,NA,NA,NA,NA,NA,0
Wilcox,13315,GA,NA,NA,NA,NA,NA,NA,NA,0
Wayne,13305,GA,NA,NA,NA,NA,NA,NA,NA,0
Twiggs,13289,GA,NA,NA,NA,NA,NA,NA,NA,0
Schley,13249,GA,NA,NA,NA,NA,NA,NA,NA,0
De Witt,17039,IL,NA,NA,NA,NA,NA,NA,NA,0
Bedford,47003,TN,NA,NA,NA,NA,NA,NA,NA,0
Gibson,47053,TN,NA,NA,NA,NA,NA,NA,NA,0
Crockett,47033,TN,NA,NA,NA,NA,NA,NA,NA,0
Union,47173,TN,NA,NA,NA,NA,NA,NA,NA,0
Coffee,47031,TN,NA,NA,NA,NA,NA,NA,NA,0
Maury,47119,TN,NA,NA,NA,NA,NA,NA,NA,0
Meigs,47121,TN,NA,NA,NA,NA,NA,NA,NA,0
McMinn,47107,TN,NA,NA,NA,NA,NA,NA,NA,0
Loudon,47105,TN,NA,NA,NA,NA,NA,NA,NA,0
Putnam,47141,TN,NA,NA,NA,NA,NA,NA,NA,0
Hickman,47081,TN,NA,NA,NA,NA,NA,1,NA,1
Henry,47079,TN,NA,NA,NA,NA,1,1,NA,2
Grainger,47057,TN,NA,NA,NA,NA,NA,NA,NA,0
Smith,47159,TN,NA,NA,NA,NA,NA,NA,NA,0
Red River,48387,TX,NA,NA,NA,NA,NA,1,NA,1
Hockley,48219,TX,NA,NA,NA,NA,NA,NA,NA,0
Dimmit,48127,TX,NA,NA,NA,NA,NA,NA,NA,0
Walker,48471,TX,NA,NA,NA,NA,NA,1,NA,1
Colorado,48089,TX,NA,NA,NA,NA,NA,NA,NA,0
Duval,48131,TX,NA,NA,NA,NA,NA,NA,NA,0
Ward,48475,TX,NA,NA,NA,NA,NA,NA,NA,0
Houston,48225,TX,NA,NA,NA,NA,NA,1,NA,1
Nacogdoches,48347,TX,2,NA,NA,NA,NA,NA,NA,2
Floyd,48153,TX,NA,NA,NA,NA,NA,NA,NA,0
Victoria,48469,TX,NA,NA,NA,NA,NA,NA,NA,0
Hopkins,48223,TX,NA,1,NA,NA,NA,NA,NA,1
Bee,48025,TX,NA,NA,NA,NA,NA,NA,NA,0
Delta,48119,TX,NA,NA,NA,NA,NA,NA,NA,0
Trinity,48455,TX,4,2,NA,NA,NA,NA,NA,6
Austin,48015,TX,NA,NA,NA,NA,NA,NA,NA,0
Fisher,48151,TX,NA,NA,NA,NA,NA,NA,NA,0
San Jacinto,48407,TX,NA,1,NA,NA,NA,1,NA,2
San Augustine,48405,TX,1,NA,NA,NA,NA,NA,NA,1
Washington,48477,TX,NA,NA,NA,NA,NA,NA,NA,0
Sutton,48435,TX,NA,NA,NA,NA,NA,NA,NA,0
Muskogee,40101,OK,NA,NA,NA,NA,NA,NA,NA,0
Craig,40035,OK,NA,NA,NA,NA,NA,NA,NA,0
Kiowa,40075,OK,NA,NA,NA,NA,NA,NA,NA,0
Rhea,47143,TN,NA,NA,NA,NA,NA,NA,NA,0
Knox,47093,TN,NA,NA,NA,NA,NA,NA,NA,0
Knott,21119,KY,NA,NA,NA,NA,NA,NA,NA,0
Allen,21003,KY,NA,NA,NA,NA,NA,NA,NA,0
Livingston,21139,KY,NA,NA,NA,NA,NA,1,NA,1
Crittenden,21055,KY,NA,NA,NA,NA,1,1,NA,2
Woodford,21239,KY,NA,NA,NA,NA,NA,NA,NA,0
Perry,21193,KY,NA,NA,NA,NA,NA,NA,NA,0
Nicholas,21181,KY,NA,NA,NA,NA,NA,NA,NA,0
Owsley,21189,KY,NA,NA,NA,NA,NA,NA,NA,0
Harrison,21097,KY,NA,NA,NA,NA,NA,NA,NA,0
Elliott,21063,KY,NA,NA,NA,NA,NA,NA,NA,0
Bossier,22015,LA,2,5,NA,NA,NA,NA,NA,7
Pointe Coupee,22077,LA,NA,NA,NA,NA,NA,NA,NA,0
West Feliciana,22125,LA,NA,NA,NA,NA,1,1,NA,2
St. Helena,22091,LA,NA,NA,NA,NA,NA,NA,NA,0
Catahoula,22025,LA,NA,2,NA,NA,1,1,NA,4
Leflore,28083,MS,NA,1,NA,NA,1,1,NA,3
Stone,28131,MS,NA,NA,NA,NA,NA,NA,NA,0
Holmes,28051,MS,NA,1,NA,NA,NA,NA,NA,1
Wilkinson,28157,MS,NA,NA,NA,NA,NA,NA,NA,0
Calhoun,28013,MS,NA,NA,NA,NA,NA,NA,NA,0
Callaway,29027,MO,NA,NA,NA,NA,NA,NA,NA,0
Lincoln,29113,MO,NA,1,NA,NA,NA,1,NA,2
Madison,29123,MO,NA,NA,NA,NA,NA,1,NA,1
Stoddard,29207,MO,NA,3,NA,NA,NA,1,NA,4
Le Flore,40079,OK,NA,NA,NA,NA,NA,1,NA,1
Weakley,47183,TN,NA,NA,NA,NA,NA,NA,NA,0
Chambers,48071,TX,NA,1,NA,NA,NA,NA,NA,1
Presidio,48377,TX,NA,NA,NA,NA,NA,NA,NA,0
Collingsworth,48087,TX,NA,NA,NA,NA,NA,NA,NA,0
Dallas,05039,AR,NA,NA,NA,NA,NA,1,NA,1
Prairie,05117,AR,NA,1,NA,NA,NA,1,NA,2
Jackson,05067,AR,1,NA,NA,NA,NA,1,NA,2
Lawrence,05075,AR,NA,NA,NA,NA,NA,1,NA,1
King,48269,TX,NA,NA,NA,NA,NA,NA,NA,0
Motley,48345,TX,NA,NA,NA,NA,NA,NA,NA,0
Baldwin,01003,AL,NA,NA,NA,NA,NA,1,NA,1
Barbour,01005,AL,NA,1,NA,NA,NA,NA,NA,1
Washington,01129,AL,2,NA,NA,NA,NA,NA,NA,2
Pickens,01107,AL,NA,NA,NA,NA,1,1,NA,2
DeKalb,01049,AL,NA,NA,NA,NA,NA,NA,NA,0
Greenup,21089,KY,NA,NA,NA,NA,NA,NA,NA,0
Miller,05091,AR,NA,1,NA,1,1,1,NA,3
Little River,05081,AR,NA,NA,NA,NA,NA,NA,NA,0
Taylor,12123,FL,NA,NA,NA,NA,NA,NA,NA,0
Pasco,12101,FL,NA,NA,NA,NA,NA,NA,NA,0
Escambia,12033,FL,NA,NA,NA,NA,NA,NA,NA,0
Nassau,12089,FL,NA,NA,NA,NA,NA,NA,NA,0
Camden,13039,GA,NA,1,NA,NA,NA,1,1,3
Lincoln,13181,GA,NA,NA,NA,NA,NA,NA,NA,0
Whitfield,13313,GA,NA,NA,NA,NA,NA,NA,NA,0
Burke,13033,GA,NA,NA,NA,NA,NA,NA,NA,0
Alexander,17003,IL,NA,1,NA,NA,1,1,NA,3
Perry,18123,IN,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,22051,LA,NA,NA,NA,NA,NA,NA,NA,0
Polk,12105,FL,NA,NA,NA,NA,NA,NA,NA,0
Autauga,01001,AL,NA,NA,NA,NA,NA,NA,NA,0
Clarke,01025,AL,NA,NA,NA,NA,NA,NA,NA,0
Osage,40113,OK,NA,NA,NA,NA,NA,NA,NA,0
Harlan,21095,KY,NA,NA,NA,NA,NA,NA,NA,0
Cameron,48061,TX,NA,NA,NA,NA,NA,NA,NA,0
Lawrence,21127,KY,NA,NA,NA,NA,NA,NA,NA,0
St. Bernard,22087,LA,NA,NA,NA,NA,NA,NA,NA,0
Dallas,01047,AL,NA,NA,NA,NA,NA,1,NA,1
Sabine,22085,LA,NA,NA,NA,NA,NA,NA,NA,0
Webster,22119,LA,NA,2,NA,NA,1,1,NA,4
Conecuh,01035,AL,NA,NA,NA,NA,NA,NA,NA,0
Noxubee,28103,MS,NA,NA,NA,NA,1,1,NA,2
New Madrid,29143,MO,NA,NA,NA,NA,1,1,NA,2
Jackson,29095,MO,NA,NA,NA,NA,NA,NA,NA,0
Perry,29157,MO,NA,NA,NA,NA,NA,NA,NA,0
Okmulgee,40111,OK,NA,NA,NA,NA,NA,1,NA,1
Gulf,12045,FL,NA,NA,NA,NA,NA,NA,NA,0
Dixie,12029,FL,NA,NA,NA,NA,NA,NA,NA,0
Wakulla,12129,FL,NA,NA,NA,NA,NA,NA,NA,0
Lake,17097,IL,NA,NA,NA,NA,NA,NA,NA,0
Boone,05009,AR,NA,NA,NA,NA,NA,NA,NA,0
Tensas,22107,LA,NA,NA,NA,NA,1,1,NA,2
Caddo,22017,LA,NA,1,NA,NA,1,1,NA,3
Pearl River,28109,MS,NA,1,NA,NA,NA,1,NA,2
Butler,29023,MO,NA,1,NA,NA,1,1,NA,3
Hamblen,47063,TN,NA,NA,NA,NA,NA,NA,NA,0
Williamson,47187,TN,NA,NA,NA,NA,NA,NA,NA,0
Marshall,47117,TN,NA,NA,NA,NA,NA,NA,NA,0
Waller,48473,TX,NA,NA,NA,NA,NA,NA,NA,0
Freestone,48161,TX,NA,NA,NA,NA,NA,NA,NA,0
Travis,48453,TX,NA,NA,NA,NA,NA,NA,NA,0
Winkler,48495,TX,NA,NA,NA,NA,NA,NA,NA,0
Williamson,48491,TX,NA,NA,NA,NA,NA,NA,NA,0
Smith,48423,TX,NA,NA,NA,NA,NA,NA,NA,0
Upton,48461,TX,NA,NA,NA,NA,NA,NA,NA,0
Polk,48373,TX,NA,1,NA,NA,NA,1,NA,2
Jasper,48241,TX,NA,1,NA,NA,NA,NA,NA,1
Titus,48449,TX,NA,NA,NA,NA,NA,NA,NA,0
Reeves,48389,TX,NA,NA,NA,NA,NA,NA,NA,0
Swisher,48437,TX,NA,NA,NA,NA,NA,NA,NA,0
Glasscock,48173,TX,NA,NA,NA,NA,NA,NA,NA,0
Alachua,12001,FL,NA,NA,NA,NA,NA,NA,NA,0
Washington,13303,GA,NA,NA,NA,NA,NA,NA,NA,0
Jackson,13157,GA,NA,NA,NA,NA,NA,NA,NA,0
Wheeler,13309,GA,NA,NA,NA,NA,NA,NA,NA,0
Lamar,13171,GA,NA,NA,NA,NA,NA,NA,NA,0
Oglethorpe,13221,GA,NA,NA,NA,NA,NA,NA,NA,0
Wilkes,13317,GA,NA,NA,NA,NA,NA,NA,NA,0
Crawford,13079,GA,NA,NA,NA,NA,NA,NA,NA,0
Hancock,13141,GA,NA,NA,NA,NA,NA,NA,NA,0
Brantley,13025,GA,NA,NA,NA,NA,NA,NA,NA,0
Stark,17175,IL,NA,NA,NA,NA,NA,NA,NA,0
Pike,18125,IN,NA,NA,NA,NA,1,1,NA,2
Fayette,21067,KY,NA,NA,NA,NA,NA,NA,NA,0
Clark,21049,KY,NA,NA,NA,NA,NA,NA,NA,0
Clay,21051,KY,NA,NA,NA,NA,NA,NA,NA,0
Carter,21043,KY,NA,NA,NA,NA,NA,NA,NA,0
Washington,21229,KY,NA,NA,NA,NA,NA,NA,NA,0
Caldwell,21033,KY,NA,NA,NA,NA,NA,NA,NA,0
St. Martin,22099,LA,NA,10,4,NA,NA,NA,NA,14
Livingston,22063,LA,NA,NA,NA,NA,NA,NA,NA,0
East Baton Rouge,22033,LA,1,1,NA,NA,NA,NA,NA,2
LaSalle,22059,LA,NA,NA,NA,NA,1,1,NA,2
Caldwell,22021,LA,1,2,NA,NA,1,1,NA,5
Hinds,28049,MS,1,3,NA,NA,1,1,NA,6
Humphreys,28053,MS,NA,1,NA,NA,1,1,NA,3
Saline,29195,MO,NA,NA,NA,NA,NA,NA,NA,0
Pulaski,29169,MO,NA,NA,NA,NA,NA,NA,NA,0
Attala,28007,MS,NA,NA,NA,NA,1,1,NA,2
Copiah,28029,MS,NA,NA,NA,NA,NA,NA,NA,0
Benton,29015,MO,NA,NA,NA,NA,NA,NA,NA,0
