NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Breathitt,21025,KY,NA,NA,NA,NA,1,1,NA,2
Mercer,21167,KY,NA,NA,NA,NA,1,1,NA,2
Bell,21013,KY,NA,NA,NA,NA,1,1,NA,2
Owen,21187,KY,NA,NA,NA,NA,1,1,NA,2
Pennington,46103,SD,NA,NA,NA,NA,NA,1,NA,1
McPherson,46089,SD,NA,NA,NA,NA,NA,NA,NA,0
Tipton,47167,TN,NA,NA,NA,NA,NA,NA,NA,0
Giles,47055,TN,NA,NA,NA,NA,1,1,NA,2
Hamilton,47065,TN,NA,2,NA,NA,1,1,NA,4
Sevier,47155,TN,NA,1,NA,NA,1,1,NA,3
Greene,47059,TN,NA,NA,NA,NA,NA,NA,NA,0
Robertson,47147,TN,1,1,NA,NA,1,1,NA,4
Blount,47009,TN,NA,1,NA,NA,1,1,NA,3
Nueces,48355,TX,NA,NA,NA,NA,NA,NA,NA,0
Starr,48427,TX,NA,NA,NA,NA,NA,NA,NA,0
San Patricio,48409,TX,NA,NA,NA,NA,NA,NA,NA,0
Brazoria,48039,TX,NA,NA,NA,NA,NA,NA,NA,0
Terrell,48443,TX,NA,NA,NA,NA,NA,NA,NA,0
Hemphill,48211,TX,NA,1,NA,1,1,1,NA,3
Cass,48067,TX,NA,NA,NA,NA,NA,NA,NA,0
Tazewell,51185,VA,NA,NA,NA,NA,NA,1,NA,1
Washington,51191,VA,NA,NA,NA,NA,1,1,NA,2
Dickenson,51051,VA,NA,3,NA,NA,NA,NA,NA,3
Northampton,51131,VA,1,NA,NA,NA,NA,1,NA,2
Stafford,51179,VA,NA,NA,NA,NA,1,1,NA,2
Lancaster,51103,VA,NA,NA,NA,NA,1,1,NA,2
Richmond,51159,VA,1,NA,NA,NA,NA,NA,NA,1
Augusta,51015,VA,1,1,NA,1,1,1,NA,4
Surry,51181,VA,NA,3,NA,1,1,1,NA,5
Fairfax,51059,VA,4,16,NA,7,1,1,NA,22
Frederick,51069,VA,1,1,NA,NA,1,1,NA,4
Monroe,54063,WV,NA,NA,NA,NA,1,1,NA,2
Wetzel,54103,WV,NA,NA,NA,NA,1,1,NA,2
Tyler,54095,WV,NA,NA,NA,NA,NA,1,NA,1
Wood,54107,WV,1,NA,NA,NA,NA,NA,NA,1
