NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Amherst,51009,VA,NA,NA,NA,NA,NA,NA,NA,0
Roanoke,51161,VA,NA,NA,NA,NA,NA,NA,NA,0
Southampton,51175,VA,4,2,NA,NA,1,NA,NA,7
Madison,51113,VA,NA,NA,NA,NA,NA,NA,NA,0
Kanawha,54039,WV,NA,NA,NA,NA,NA,NA,NA,0
Wyoming,54109,WV,NA,1,NA,1,1,NA,NA,2
Greenbrier,54025,WV,NA,NA,NA,NA,NA,NA,NA,0
Lewis,54041,WV,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,01073,AL,103,1,NA,NA,1,NA,NA,105
Pinellas,12103,FL,243,8,NA,2,1,NA,NA,252
Hillsborough,12057,FL,375,9,NA,4,1,NA,NA,385
Levy,12075,FL,37,7,NA,1,1,NA,NA,45
Miami-Dade,12086,FL,498,20,NA,7,1,NA,NA,519
Lee,12071,FL,216,9,NA,6,1,NA,NA,226
Santa Rosa,12113,FL,85,12,NA,NA,NA,NA,NA,97
Cullman,01043,AL,18,5,NA,NA,1,NA,NA,24
Franklin,12037,FL,106,30,NA,2,1,NA,NA,137
Leon,12073,FL,187,30,NA,1,1,NA,NA,218
Chatham,13051,GA,252,5,NA,NA,1,NA,NA,258
Lowndes,13185,GA,45,2,NA,NA,1,NA,NA,48
Brooks,13027,GA,2,1,NA,NA,NA,NA,NA,3
Charlton,13049,GA,12,4,NA,1,1,NA,NA,17
Richmond,13245,GA,16,NA,NA,NA,NA,NA,NA,16
Rabun,13241,GA,9,4,NA,NA,NA,NA,NA,13
Houston,13153,GA,19,3,NA,NA,NA,NA,NA,22
Colbert,01033,AL,13,NA,NA,NA,1,NA,NA,14
Benton,05007,AR,1,NA,NA,NA,NA,NA,NA,1
Union,05139,AR,5,1,NA,NA,1,NA,NA,7
Ashley,05003,AR,3,1,NA,NA,1,NA,NA,5
Sevier,05133,AR,2,NA,NA,NA,NA,NA,NA,2
Sebastian,05131,AR,2,NA,NA,NA,NA,NA,NA,2
Carroll,05015,AR,NA,NA,NA,NA,1,NA,NA,1
Clay,05021,AR,NA,NA,NA,NA,1,NA,NA,1
Desha,05041,AR,NA,1,NA,NA,1,NA,NA,2
Independence,05063,AR,11,NA,NA,NA,NA,NA,NA,11
Clark,05019,AR,6,NA,NA,NA,1,NA,NA,7
McCreary,21147,KY,4,1,NA,NA,1,NA,NA,6
Stanly,37167,NC,15,1,NA,NA,1,NA,NA,17
Anson,37007,NC,26,1,NA,1,1,NA,NA,28
Robeson,37155,NC,12,9,NA,4,1,NA,NA,22
Monroe,01099,AL,5,2,NA,NA,1,NA,NA,8
Lewis,21135,KY,NA,NA,NA,NA,NA,NA,NA,0
Lafourche,22057,LA,1,NA,NA,NA,NA,NA,NA,1
Washington,22117,LA,10,4,NA,NA,1,NA,NA,15
Concordia,22029,LA,NA,1,NA,NA,1,NA,NA,2
East Carroll,22035,LA,NA,NA,NA,NA,1,NA,NA,1
Beauregard,22011,LA,8,1,NA,NA,1,NA,NA,10
Talbot,24041,MD,1,NA,NA,NA,NA,NA,NA,1
St. Mary's,24037,MD,2,NA,NA,NA,NA,NA,NA,2
Somerset,24039,MD,3,NA,NA,NA,NA,NA,NA,3
Wilcox,01131,AL,2,2,NA,NA,1,NA,NA,5
Caroline,24011,MD,2,NA,NA,NA,NA,NA,NA,2
Prince George's,24033,MD,6,1,NA,NA,NA,NA,NA,7
Allegany,24001,MD,1,NA,NA,NA,NA,NA,NA,1
Hale,01065,AL,4,NA,NA,NA,NA,NA,NA,4
New Hanover,37129,NC,121,7,NA,1,1,NA,NA,129
Pender,37141,NC,31,6,NA,1,1,NA,NA,38
Onslow,37133,NC,51,1,NA,NA,1,NA,NA,53
Clay,37043,NC,3,NA,NA,NA,NA,NA,NA,3
Macon,37113,NC,1,NA,NA,NA,NA,NA,NA,1
Transylvania,37175,NC,2,2,NA,1,1,NA,NA,5
Craven,37049,NC,23,4,NA,NA,NA,NA,NA,27
